Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
134667958,Remembered Death by Agatha Christie (1973-05-03),Agatha Christie,"Christie, Agatha",,,,3,3.92,Pocket,Mass Market Paperback,0,,1945,,11/10/23,,,read,,,,0,0
135479,Cat’s Cradle,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,,,3,4.15,Penguin,Paperback,306,1999,1963,,2/3/23,,,read,,,,1,0
231804,The Outsiders,S.E. Hinton,"Hinton, S.E.",,0670532576,9780670532575,3,4.14,Puffin Books (US/CAN),Mass Market Paperback,208,1997,1967,,11/10/23,,,read,,,,1,0
248596,Something Wicked This Way Comes,Ray Bradbury,"Bradbury, Ray",,0380729407,9780380729401,3,3.9,Harper Voyager,Mass Market Paperback,293,1998,1962,,11/10/23,,,read,,,,0,0
350,Stranger in a Strange Land,Robert A. Heinlein,"Heinlein, Robert A.",James Warhola,,,3,3.92,Ace,Paperback,525,1991,1961,,11/10/23,,,read,,,,1,0
18423,The Left Hand of Darkness,Ursula K. Le Guin,"Guin, Ursula K. Le",,,,4,4.1,Ace,Paperback,304,2000,1969,,11/10/23,,,read,,,,1,0
33124137,Pet Sematary,Stephen King,"King, Stephen",,,,3,4.08,Scribner,Kindle Edition,580,2014,1983,,11/10/23,,,read,,,,1,0
25622780,Wide Sargasso Sea,Jean Rhys,"Rhys, Jean",Edwidge Danticat,0393352560,9780393352566,3,3.59,W. W. Norton & Company,Paperback,176,2016,1966,,11/10/23,,,read,,,,0,0
10357575,"1Q84 (1Q84, #1-3)",Haruki Murakami,"Murakami, Haruki","Jay Rubin, Philip Gabriel",0307593312,9780307593313,3,3.95,Knopf,Hardcover,944,2011,2009,,11/10/23,,,read,,,,1,0
12338132,Decadence of Industrial Democracies,Bernard Stiegler,"Stiegler, Bernard",Daniel Ross,074564810X,9780745648101,4,4.09,Polity,Paperback,200,2011,2011,4/10/24,3/20/24,,,read,,,,1,0
4929,Kafka on the Shore,Haruki Murakami,"Murakami, Haruki",Philip Gabriel,,,4,4.12,Vintage International,Paperback,467,2006,2002,,2/3/23,,,read,,,,1,0
76778,The Martian Chronicles,Ray Bradbury,"Bradbury, Ray",Michael Whelan,0553278223,9780553278224,4,4.16,Bantam/Spectra,Mass Market Paperback,182,1984,1950,,2/3/23,,,read,,,,1,0
32559,The Fall of the House of Usher and Other Tales,Edgar Allan Poe,"Poe, Edgar Allan",Stephen Marlowe,0451526759,9780451526755,4,4.17,Signet Classics,Paperback,400,1998,1960,,11/10/23,,,read,,,,1,0
44767458,Dune (Dune #1),Frank Herbert,"Herbert, Frank",,059309932X,9780593099322,4,4.29,Ace,Hardcover,658,2019,1965,,2/3/23,,,read,,,,1,0
48855,The Diary of a Young Girl,Anne Frank,"Frank, Anne","Eleanor Roosevelt, Susan Massotty, Γιάννης Θωμόπουλος, Barbara Mooyaart-Doubleday, Otto H. Frank, Mirjam Pressler",,,3,4.2,Bantam,Mass Market Paperback,283,1993,1947,,11/10/23,,,read,,,,1,0
